date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-08-01,53.48,54.51,51.69,52.11,216071688.0,52.9475,AAPL,51.801428571428566,51.82344949408976,52.08457142857143,52.62904584960417,52.57409204772397,-68.00000000000009,61.743134358891155,81.85193211541797,5.0,51.81,51.94,51.94,52.42,52.2,51.01
2019-08-02,51.38,51.61,50.41,51.01,163448488.0,51.1025,AAPL,51.78071428571428,51.714989561544456,51.97904761904762,52.31917446145101,52.0969912382947,-87.82961460446246,52.92065069679224,78.77116272513159,5.0,52.21,51.94,52.42,52.2,53.26,48.34
2019-08-03,51.38,51.61,50.41,51.01,163448488.0,51.1025,AAPL,51.78071428571428,51.714989561544456,51.97904761904762,52.31917446145101,52.0969912382947,-87.82961460446246,52.92065069679224,78.77116272513159,5.0,52.17,52.42,52.2,53.26,52.11,49.25
2019-08-04,51.38,51.61,50.41,51.01,163448488.0,51.1025,AAPL,51.78071428571428,51.714989561544456,51.97904761904762,52.31917446145101,52.0969912382947,-87.82961460446246,52.92065069679224,78.77116272513159,5.0,51.76,52.2,53.26,52.11,51.01,49.76
2019-08-05,49.5,49.66,48.15,48.34,209571876.0,48.9125,AAPL,51.58142857142857,51.264990953338526,51.52028571428571,51.3986190728124,50.79824440303527,-97.35744089012512,38.52942033259036,74.20360718929426,5.0,51.94,53.26,52.11,51.01,51.01,50.86
2019-08-06,49.08,49.52,48.51,49.25,143299148.0,49.09,AAPL,51.46785714285714,50.99632549289339,51.20942857142857,50.879293130718295,50.141729332815686,-84.70097357440889,44.1081585469705,69.96230562030244,5.0,51.94,52.11,51.01,51.01,51.01,50.25
2019-08-07,48.85,49.89,48.46,49.76,133457600.0,49.24,AAPL,51.34928571428571,50.83148209384094,50.9817142857143,50.58718976744373,49.837675840268936,-77.60778859527123,47.01064862917938,66.21663835099885,5.0,51.94,51.01,51.01,51.01,48.34,50.25
2019-08-08,50.05,50.88,49.85,50.86,108038092.0,50.41,AAPL,51.36428571428571,50.83528448132882,50.916476190476196,50.6268598676074,50.008366481708286,-62.30876216968012,52.71437464306456,63.23119170254642,5.0,52.42,51.01,51.01,48.34,49.25,50.25
2019-08-09,50.33,50.69,49.82,50.25,98478984.0,50.2725,AAPL,51.252857142857145,50.75724655048498,50.76790476190476,50.50897901186175,49.938420875834254,-70.79276773296245,49.53044050379674,60.43480299971644,5.0,52.2,51.01,48.34,49.25,49.76,50.12
2019-08-10,50.33,50.69,49.82,50.25,98478984.0,50.2725,AAPL,51.252857142857145,50.75724655048498,50.76790476190476,50.50897901186175,49.938420875834254,-70.79276773296245,49.53044050379674,60.43480299971644,5.0,53.26,48.34,49.25,49.76,50.86,52.24
2019-08-11,50.33,50.69,49.82,50.25,98478984.0,50.2725,AAPL,51.252857142857145,50.75724655048498,50.76790476190476,50.50897901186175,49.938420875834254,-70.79276773296245,49.53044050379674,60.43480299971644,5.0,52.11,49.25,49.76,50.86,50.25,50.69
2019-08-12,49.91,50.51,49.79,50.12,89927556.0,50.0825,AAPL,51.10357142857142,50.672280343753656,50.61685714285715,50.38347776444637,49.853863677963034,-72.60083449235051,48.853225670577196,57.81225428737166,5.0,51.01,49.76,50.86,50.25,50.25,50.44
2019-08-13,50.26,53.04,50.21,52.24,190159144.0,51.4375,AAPL,51.10857142857143,50.88130963125317,50.768380952380944,50.81217277835309,50.5435508662871,-43.11543810848399,58.75665017874637,56.51988340425958,5.0,51.01,50.86,50.25,50.25,50.25,51.63
2019-08-14,50.79,51.61,50.65,50.69,146189772.0,50.935,AAPL,51.03214285714286,50.85580168041942,50.71257142857142,50.7737761838501,50.529800368879584,-64.67315716272604,50.983806650740675,55.31982472708408,5.0,51.01,50.25,50.25,50.25,50.12,51.63
2019-08-15,50.87,51.29,49.92,50.44,111533452.0,50.63,AAPL,50.925000000000004,50.8003614563635,50.63361904761904,50.68122449848829,50.43761552571541,-68.15020862308766,49.83860550640535,53.55093699765991,5.0,48.34,50.25,50.25,50.12,52.24,51.63
2019-08-16,51.07,51.79,50.96,51.63,115254496.0,51.3625,AAPL,50.868571428571435,50.91097992884836,50.727619047619044,50.90359724151007,50.789323166238894,-51.59944367176632,55.01800985430743,52.13729432374568,5.0,49.25,50.25,50.12,52.24,50.69,52.59
2019-08-17,51.07,51.79,50.96,51.63,115254496.0,51.3625,AAPL,50.868571428571435,50.91097992884836,50.727619047619044,50.90359724151007,50.789323166238894,-51.59944367176632,55.01800985430743,52.13729432374568,5.0,49.76,50.12,52.24,50.69,50.44,52.59
2019-08-18,51.07,51.79,50.96,51.63,115254496.0,51.3625,AAPL,50.868571428571435,50.91097992884836,50.727619047619044,50.90359724151007,50.789323166238894,-51.59944367176632,55.01800985430743,52.13729432374568,5.0,50.86,52.24,50.69,50.44,51.63,53.16
2019-08-19,52.66,53.18,52.51,52.59,97727660.0,52.735,AAPL,50.896428571428565,51.134849271668585,50.957142857142856,51.32247103975293,51.39243736921753,-38.24756606397772,58.720966996868434,51.39894027589956,5.0,50.25,50.69,50.44,51.63,51.63,53.12
2019-08-20,52.72,53.34,52.58,52.59,107678116.0,52.8075,AAPL,50.84857142857144,51.32886936877944,51.18295238095239,51.659625651948616,51.844313050558135,-30.188679245282934,58.720966996868434,50.77495024814538,5.0,50.25,50.44,51.63,51.63,51.63,50.66
2019-08-21,53.25,53.41,52.9,53.16,86258988.0,53.18,AAPL,50.92357142857143,51.573020119608856,51.491142857142854,52.071272882407634,52.37649891021487,-4.752851711026618,60.93541855486898,50.22393673219393,5.0,50.25,51.63,51.63,51.63,52.59,50.66
2019-08-22,53.3,53.61,52.69,53.12,89071276.0,53.18,AAPL,51.07428571428572,51.77928410366101,51.784000000000006,52.389865284265156,52.75174580379607,-8.97435897435901,60.68937095981512,49.488319111753604,5.0,50.12,51.63,51.63,52.59,52.59,50.66
2019-08-23,52.36,53.01,50.25,50.66,187531372.0,51.57,AAPL,51.24,51.630046223172876,51.72876190476191,52.02987708327341,52.16085658909709,-57.28155339805833,47.88382823896328,46.65418334971719,5.0,52.24,51.63,52.59,52.59,53.16,51.62
2019-08-24,52.36,53.01,50.25,50.66,187531372.0,51.57,AAPL,51.24,51.630046223172876,51.72876190476191,52.02987708327341,52.16085658909709,-57.28155339805833,47.88382823896328,46.65418334971719,5.0,50.69,52.59,52.59,53.16,53.12,51.04
2019-08-25,52.36,53.01,50.25,50.66,187531372.0,51.57,AAPL,51.24,51.630046223172876,51.72876190476191,52.02987708327341,52.16085658909709,-57.28155339805833,47.88382823896328,46.65418334971719,5.0,50.44,52.59,53.16,53.12,50.66,51.38
2019-08-26,51.47,51.8,51.26,51.62,104264520.0,51.5375,AAPL,51.409285714285716,51.628706726749826,51.779428571428575,51.97406590860365,52.040372692503674,-38.640776699029175,52.1288509180957,44.022485856397665,5.0,51.63,53.16,53.12,50.66,50.66,52.25
2019-08-27,51.97,52.14,50.88,51.04,103589376.0,51.5075,AAPL,51.500714285714295,51.55021249651652,51.73019047619048,51.78149545458764,51.740095273356005,-67.27748691099477,49.50523602572925,41.285271562053076,5.0,51.63,53.12,50.66,50.66,50.66,52.19
2019-08-28,51.03,51.43,50.83,51.38,63830528.0,51.1675,AAPL,51.53785714285715,51.52751749698099,51.71409523809523,51.70829372771183,51.62864107361619,-58.376963350785246,51.06019792131386,38.70375149814799,5.0,51.63,50.66,50.66,50.66,51.62,52.19
2019-08-29,52.13,52.33,51.66,52.25,84030608.0,52.0925,AAPL,51.680714285714295,51.62384849738353,51.80904761904762,51.86400809769912,51.846441384456334,-35.60209424083768,54.88833336951195,36.93508641398926,5.0,52.59,50.66,50.66,51.62,51.04,52.19
2019-08-30,52.54,52.61,51.8,52.19,84650244.0,52.285,AAPL,51.828571428571436,51.699335364399055,51.87695238095238,51.97289563608602,51.986618399797464,-38.48238482384831,54.571299207907465,35.47802720623481,5.0,52.59,50.66,51.62,51.04,51.38,52.19
2019-08-31,52.54,52.61,51.8,52.19,84650244.0,52.285,AAPL,51.828571428571436,51.699335364399055,51.87695238095238,51.97289563608602,51.986618399797464,-38.48238482384831,54.571299207907465,35.47802720623481,5.0,53.16,51.62,51.04,51.38,52.25,51.43
2019-09-01,52.54,52.61,51.8,52.19,84650244.0,52.285,AAPL,51.828571428571436,51.699335364399055,51.87695238095238,51.97289563608602,51.986618399797464,-38.48238482384831,54.571299207907465,35.47802720623481,5.0,53.12,51.04,51.38,52.25,52.19,52.3
2019-09-02,52.54,52.61,51.8,52.19,84650244.0,52.285,AAPL,51.828571428571436,51.699335364399055,51.87695238095238,51.97289563608602,51.986618399797464,-38.48238482384831,54.571299207907465,35.47802720623481,5.0,50.66,51.38,52.25,52.19,52.19,53.32
2019-09-03,51.61,51.75,51.06,51.43,80238296.0,51.4625,AAPL,51.7707142857143,51.66342398247919,51.82380952380952,51.86938635361067,51.82269456834584,-59.07859078590789,50.58563889425284,33.46738867916141,5.0,50.66,52.25,52.19,52.19,52.19,53.32
2019-09-04,52.1,52.37,51.83,52.3,76867280.0,52.15,AAPL,51.88571428571429,51.7483007848153,51.89438095238095,52.00036140182054,51.999847001014956,-35.50135501355022,54.667308413455125,32.04084023887792,5.0,50.66,52.19,52.19,52.19,52.19,53.32
2019-09-05,53.0,53.49,52.88,53.32,95787936.0,53.1725,AAPL,52.09142857142858,51.95786068017326,52.08561904761905,52.35793179088804,52.48576173807144,-8.630952380952357,58.948630543702784,31.42438836365843,5.0,51.62,52.19,52.19,52.19,51.43,53.32
2019-09-06,53.51,53.61,53.13,53.32,77449176.0,53.3925,AAPL,52.21214285714286,52.13947925615016,52.249428571428574,52.64361031794961,52.84458156311526,-8.630952380952357,58.948630543702784,30.923373927937263,5.0,51.04,52.19,52.19,51.43,52.3,53.54
