date,open,high,low,close,volume,vwap,symbol,sma,ema,wma,dema,tema,williams,rsi,adx,ratingScore,minus_10_price,minus_5_price,minus_4_price,minus_3_price,minus_2_price,target
2019-08-10,138.61,139.38,136.46,137.71,23466701.0,138.04,MSFT,138.06642857142856,137.24049190585174,137.18990476190478,137.048579579763,136.32200742318983,-36.42201834862382,54.57538253038724,54.03599709740643,4.0,136.27,132.21,134.69,135.28,138.89,138.6
2019-08-11,138.61,139.38,136.46,137.71,23466701.0,138.04,MSFT,138.06642857142856,137.24049190585174,137.18990476190478,137.048579579763,136.32200742318983,-36.42201834862382,54.57538253038724,54.03599709740643,4.0,138.06,134.69,135.28,138.89,137.71,133.98
2019-08-12,137.07,137.86,135.24,135.79,20484348.0,136.49,MSFT,137.81642857142856,137.04709298507152,136.88638095238096,136.7131565711184,135.96037315927256,-54.036697247706535,49.67315988427665,51.23789944808053,4.0,136.9,135.28,138.89,137.71,137.71,133.68
2019-08-13,136.05,138.8,135.0,138.6,25496593.0,137.1125,MSFT,137.665,137.25414725372866,136.99085714285715,137.1441827278055,136.68587940716503,-28.256880733945057,55.91454958896266,48.858271905723065,4.0,136.9,138.89,137.71,137.71,137.71,136.13
2019-08-14,136.36,136.92,133.67,133.98,32527251.0,135.2325,MSFT,137.22142857142856,136.81759428656483,136.4995238095238,136.34394579255607,135.63155680899354,-70.6422018348625,45.847206770282206,46.211206842146645,4.0,136.9,137.71,137.71,137.71,135.79,136.13
2019-08-15,134.39,134.58,132.25,133.68,28125416.0,133.725,MSFT,136.6742857142857,136.39924838168952,136.02733333333333,135.62618656932332,134.74929124099268,-72.9729729729729,45.27713060270452,43.303267345136895,4.0,132.21,137.71,137.71,135.79,138.6,136.13
2019-08-16,134.88,136.46,134.72,136.13,25026151.0,135.5475,MSFT,136.3242857142857,136.36334859746427,135.9547619047619,135.662248547085,134.9646394562537,-48.7547892720307,50.67157550436095,41.104978633754385,4.0,134.69,137.71,135.79,138.6,133.98,138.41
2019-08-17,134.88,136.46,134.72,136.13,25026151.0,135.5475,MSFT,136.3242857142857,136.36334859746427,135.9547619047619,135.662248547085,134.9646394562537,-48.7547892720307,50.67157550436095,41.104978633754385,4.0,135.28,135.79,138.6,133.98,133.68,137.26
2019-08-18,134.88,136.46,134.72,136.13,25026151.0,135.5475,MSFT,136.3242857142857,136.36334859746427,135.9547619047619,135.662248547085,134.9646394562537,-48.7547892720307,50.67157550436095,41.104978633754385,4.0,138.89,138.6,133.98,133.68,136.13,138.79
2019-08-19,137.85,138.55,136.89,138.41,24370543.0,137.925,MSFT,136.18571428571428,136.6362354511357,136.23285714285714,136.26511734732222,135.9465071556255,-24.901574803149625,55.106765629871234,39.574483978909406,4.0,137.71,133.98,133.68,136.13,136.13,137.78
2019-08-20,138.21,138.71,137.24,137.26,21188998.0,137.855,MSFT,136.25642857142856,136.71940405765093,136.37609523809522,136.46984782665913,136.2990726169674,-36.22047244094496,52.540752004342814,38.1917191762506,4.0,137.71,133.68,136.13,136.13,136.13,133.39
2019-08-21,138.55,139.49,138.0,138.79,14982314.0,138.7075,MSFT,136.30857142857147,136.9954835166308,136.71390476190476,137.01847031422045,137.10666909059157,-8.03673938002315,55.50902751393078,37.10121885508372,4.0,137.71,136.13,136.13,136.13,138.41,133.39
2019-08-22,138.66,139.2,136.29,137.78,18709662.0,137.9825,MSFT,136.37142857142857,137.10008571441335,136.91009523809524,137.21066284373592,137.36301340409273,-19.632606199770454,53.14600110659042,35.43699723281856,4.0,135.79,136.13,136.13,138.41,137.26,133.39
2019-08-23,137.19,138.35,132.8,133.39,38515386.0,135.4325,MSFT,136.45571428571427,136.60540761915826,136.51257142857142,136.27252011535006,136.02022125227933,-79.63446475195856,44.31544760317489,33.059886797291924,4.0,138.6,136.13,138.41,137.26,138.79,135.45
